"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
22	0.844109195402299	6	6	"Sleep"	"Yes"	0.1
23	0.847549019607843	6	6	"Sleep"	"Yes"	0.1
24	0.881934566145092	6	6	"Sleep"	"Yes"	0.1
25	0.896527777777778	6	6	"Sleep"	"Yes"	0.1
26	0.959478021978022	6	6	"Sleep"	"Yes"	0.1
27	0.956452348381213	5	6	"Sleep"	"Yes"	0.1
28	0.893939393939394	6	6	"Sleep"	"Yes"	0.1
29	0.888181818181818	6	6	"Sleep"	"Yes"	0.1
30	0.85348731884058	6	6	"Sleep"	"Yes"	0.1
1	0.890454545454545	7	7	"Sleep"	"Yes"	0.1
2	0.933380749170223	7	7	"Sleep"	"Yes"	0.1
3	0.863266283524904	7	7	"Sleep"	"Yes"	0.1
4	0.90014367816092	7	7	"Sleep"	"Yes"	0.1
5	0.916208791208791	7	7	"Sleep"	"Yes"	0.1
6	0.883101851851852	7	7	"Sleep"	"Yes"	0.1
7	0.875	7	7	"Sleep"	"Yes"	0.1
8	0.932195353247985	7	7	"Sleep"	"Yes"	0.1
9	0.928571428571429	7	7	"Sleep"	"Yes"	0.1
10	0.896759259259259	7	7	"Sleep"	"Yes"	0.1
11	0.8875	7	7	"Sleep"	"Yes"	0.1
12	0.835727969348659	7	7	"Sleep"	"Yes"	0.1
13	0.900226757369615	7	7	"Sleep"	"Yes"	0.1
14	0.90531015037594	7	7	"Sleep"	"Yes"	0.1
15	0.866666666666667	7	7	"Sleep"	"Yes"	0.1
16	0.867610531544958	7	7	"Sleep"	"Yes"	0.1
17	0.926392251815981	6	7	"Sleep"	"Yes"	0.1
18	0.946572580645161	7	7	"Sleep"	"Yes"	0.1
19	0.925655241935484	7	7	"Sleep"	"Yes"	0.1
20	0.922227335480902	7	7	"Sleep"	"Yes"	0.1
21	0.867647058823529	7	7	"Sleep"	"Yes"	0.1
22	0.92751955821445	7	7	"Sleep"	"Yes"	0.1
23	0.885648148148148	7	7	"Sleep"	"Yes"	0.1
24	0.932638888888889	7	7	"Sleep"	"Yes"	0.1
25	0.909340659340659	7	7	"Sleep"	"Yes"	0.1
26	0.900484261501211	7	7	"Sleep"	"Yes"	0.1
