"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
1	0.860449735449735	7	8	"Sleep"	"Yes"	0
2	0.933267587113741	8	8	"Sleep"	"Yes"	0
3	0.892221489782465	8	8	"Sleep"	"Yes"	0
4	0.867521367521368	8	8	"Sleep"	"Yes"	0
5	0.945791245791246	8	8	"Sleep"	"Yes"	0
6	0.930564784053156	8	8	"Sleep"	"Yes"	0
7	0.879276315789474	8	8	"Sleep"	"Yes"	0
8	0.935880398671096	8	8	"Sleep"	"Yes"	0
9	0.939184746877055	8	8	"Sleep"	"Yes"	0
10	0.874418604651163	8	8	"Sleep"	"Yes"	0
11	0.922368421052632	8	8	"Sleep"	"Yes"	0
12	0.963414634146341	8	8	"Sleep"	"Yes"	0
13	0.906417112299465	8	8	"Sleep"	"Yes"	0
14	0.946801346801347	8	8	"Sleep"	"Yes"	0
15	0.945723684210526	8	8	"Sleep"	"Yes"	0
16	0.912228796844181	8	8	"Sleep"	"Yes"	0
17	0.922697368421053	8	8	"Sleep"	"Yes"	0
18	0.913621262458472	8	8	"Sleep"	"Yes"	0
19	0.857142857142857	8	8	"Sleep"	"Yes"	0
20	0.95959595959596	8	8	"Sleep"	"Yes"	0
21	0.899472643375082	8	8	"Sleep"	"Yes"	0
22	0.852669742913645	8	8	"Sleep"	"Yes"	0
23	0.888812628689087	8	8	"Sleep"	"Yes"	0
24	0.888586956521739	8	8	"Sleep"	"Yes"	0
25	0.914634146341463	8	8	"Sleep"	"Yes"	0
26	0.925986842105263	8	8	"Sleep"	"Yes"	0
27	0.95734126984127	8	8	"Sleep"	"Yes"	0
28	0.870138431114041	8	8	"Sleep"	"Yes"	0
29	0.942105263157895	8	8	"Sleep"	"Yes"	0
30	0.873434410019776	8	8	"Sleep"	"Yes"	0
1	0.869708994708995	9	9	"Sleep"	"Yes"	0
2	0.877777777777778	9	9	"Sleep"	"Yes"	0
3	0.899143045484509	8	9	"Sleep"	"Yes"	0
4	0.923203691496374	9	9	"Sleep"	"Yes"	0
5	0.903618421052632	9	9	"Sleep"	"Yes"	0
6	0.877960526315789	9	9	"Sleep"	"Yes"	0
7	0.948582729070534	9	9	"Sleep"	"Yes"	0
8	0.930564784053156	9	9	"Sleep"	"Yes"	0
9	0.919422941590429	9	9	"Sleep"	"Yes"	0
10	0.880999342537804	8	9	"Sleep"	"Yes"	0
11	0.918604651162791	9	9	"Sleep"	"Yes"	0
12	0.877645502645503	9	9	"Sleep"	"Yes"	0
13	0.963315217391304	9	9	"Sleep"	"Yes"	0
14	0.90138067061144	9	9	"Sleep"	"Yes"	0
15	0.943521594684385	9	9	"Sleep"	"Yes"	0
16	0.905753968253968	9	9	"Sleep"	"Yes"	0
17	0.948026315789474	9	9	"Sleep"	"Yes"	0
18	0.834325396825397	9	9	"Sleep"	"Yes"	0
19	0.887566137566138	8	9	"Sleep"	"Yes"	0
20	0.926829268292683	9	9	"Sleep"	"Yes"	0
21	0.904761904761905	9	9	"Sleep"	"Yes"	0
22	0.904983388704319	9	9	"Sleep"	"Yes"	0
23	0.906415343915344	9	9	"Sleep"	"Yes"	0
24	0.922544495715227	9	9	"Sleep"	"Yes"	0
25	0.929276315789474	9	9	"Sleep"	"Yes"	0
26	0.904339250493097	9	9	"Sleep"	"Yes"	0
27	0.950230718523401	9	9	"Sleep"	"Yes"	0
28	0.90726902173913	9	9	"Sleep"	"Yes"	0
29	0.878057065217391	8	9	"Sleep"	"Yes"	0
30	0.888486842105263	9	9	"Sleep"	"Yes"	0
1	0.941798941798942	10	10	"Sleep"	"Yes"	0
2	0.944736842105263	10	10	"Sleep"	"Yes"	0
3	0.912326961107449	10	10	"Sleep"	"Yes"	0
4	0.903681788297173	10	10	"Sleep"	"Yes"	0
5	0.948867536032944	10	10	"Sleep"	"Yes"	0
6	0.906397306397306	10	10	"Sleep"	"Yes"	0
7	0.900986842105263	10	10	"Sleep"	"Yes"	0
8	0.878289473684211	9	10	"Sleep"	"Yes"	0
9	0.907894736842105	10	10	"Sleep"	"Yes"	0
10	0.927631578947368	10	10	"Sleep"	"Yes"	0
11	0.921052631578947	10	10	"Sleep"	"Yes"	0
12	0.892379679144385	10	10	"Sleep"	"Yes"	0
13	0.923862887277521	10	10	"Sleep"	"Yes"	0
14	0.908730158730159	10	10	"Sleep"	"Yes"	0
15	0.92847725774555	10	10	"Sleep"	"Yes"	0
16	0.915946843853821	10	10	"Sleep"	"Yes"	0
17	0.908754208754209	10	10	"Sleep"	"Yes"	0
18	0.890033222591362	10	10	"Sleep"	"Yes"	0
19	0.912698412698413	10	10	"Sleep"	"Yes"	0
20	0.906578947368421	10	10	"Sleep"	"Yes"	0
21	0.955504284772577	10	10	"Sleep"	"Yes"	0
22	0.904761904761905	10	10	"Sleep"	"Yes"	0
23	0.90531561461794	10	10	"Sleep"	"Yes"	0
24	0.944773175542406	10	10	"Sleep"	"Yes"	0
25	0.942649967040211	9	10	"Sleep"	"Yes"	0
26	0.896835860250494	10	10	"Sleep"	"Yes"	0
27	0.851973684210526	10	10	"Sleep"	"Yes"	0
28	0.898026315789474	9	10	"Sleep"	"Yes"	0
29	0.871794871794872	10	10	"Sleep"	"Yes"	0
30	0.936184210526316	10	10	"Sleep"	"Yes"	0
1	0.887878787878788	11	11	"Sleep"	"Yes"	0
2	0.891203703703704	11	11	"Sleep"	"Yes"	0
3	0.899064171122995	11	11	"Sleep"	"Yes"	0
4	0.908042188529993	11	11	"Sleep"	"Yes"	0
5	0.957236842105263	10	11	"Sleep"	"Yes"	0
6	0.903681788297173	11	11	"Sleep"	"Yes"	0
7	0.936363636363636	11	11	"Sleep"	"Yes"	0
8	0.960978835978836	11	11	"Sleep"	"Yes"	0
9	0.919698009608785	10	11	"Sleep"	"Yes"	0
10	0.926587301587302	11	11	"Sleep"	"Yes"	0
11	0.864639037433155	11	11	"Sleep"	"Yes"	0
12	0.870138431114041	10	11	"Sleep"	"Yes"	0
13	0.888571428571429	10	11	"Sleep"	"Yes"	0
14	0.858552631578947	10	11	"Sleep"	"Yes"	0
15	0.960777851021754	11	11	"Sleep"	"Yes"	0
16	0.898989898989899	11	11	"Sleep"	"Yes"	0
17	0.929292929292929	10	11	"Sleep"	"Yes"	0
18	0.922874093605801	10	11	"Sleep"	"Yes"	0
19	0.884920634920635	10	11	"Sleep"	"Yes"	0
20	0.909646739130435	10	11	"Sleep"	"Yes"	0
21	0.948412698412698	10	11	"Sleep"	"Yes"	0
22	0.861898483849703	9	11	"Sleep"	"Yes"	0
23	0.936363636363636	11	11	"Sleep"	"Yes"	0
24	0.924916943521595	11	11	"Sleep"	"Yes"	0
25	0.923076923076923	10	11	"Sleep"	"Yes"	0
26	0.950396825396825	11	11	"Sleep"	"Yes"	0
27	0.919698009608785	11	11	"Sleep"	"Yes"	0
28	0.923684210526316	11	11	"Sleep"	"Yes"	0
29	0.922619047619048	10	11	"Sleep"	"Yes"	0
30	0.891377005347594	11	11	"Sleep"	"Yes"	0
1	0.899064171122995	11	12	"Sleep"	"Yes"	0
2	0.910714285714286	12	12	"Sleep"	"Yes"	0
3	0.884358288770054	11	12	"Sleep"	"Yes"	0
4	0.911842105263158	11	12	"Sleep"	"Yes"	0
5	0.897165458141068	12	12	"Sleep"	"Yes"	0
6	0.916666666666667	10	12	"Sleep"	"Yes"	0
7	0.899003322259136	11	12	"Sleep"	"Yes"	0
8	0.931385869565217	9	12	"Sleep"	"Yes"	0
9	0.925188743994509	11	12	"Sleep"	"Yes"	0
10	0.923684210526316	11	12	"Sleep"	"Yes"	0
11	0.919157608695652	12	12	"Sleep"	"Yes"	0
12	0.918181818181818	10	12	"Sleep"	"Yes"	0
13	0.936363636363636	10	12	"Sleep"	"Yes"	0
14	0.923026315789474	10	12	"Sleep"	"Yes"	0
15	0.921534130893737	10	12	"Sleep"	"Yes"	0
16	0.912698412698413	11	12	"Sleep"	"Yes"	0
17	0.922874093605801	11	12	"Sleep"	"Yes"	0
18	0.916941331575478	10	12	"Sleep"	"Yes"	0
19	0.871052631578947	12	12	"Sleep"	"Yes"	0
20	0.853988134475939	10	12	"Sleep"	"Yes"	0
21	0.892857142857143	12	12	"Sleep"	"Yes"	0
22	0.910678971654581	11	12	"Sleep"	"Yes"	0
23	0.859126984126984	11	12	"Sleep"	"Yes"	0
24	0.893687707641196	12	12	"Sleep"	"Yes"	0
25	0.882936507936508	11	12	"Sleep"	"Yes"	0
26	0.897435897435897	12	12	"Sleep"	"Yes"	0
27	0.870431893687708	12	12	"Sleep"	"Yes"	0
28	0.897165458141068	11	12	"Sleep"	"Yes"	0
29	0.911997363216875	11	12	"Sleep"	"Yes"	0
30	0.895847066578774	10	12	"Sleep"	"Yes"	0
1	0.913315754779169	10	13	"Sleep"	"Yes"	0
2	0.904255319148936	11	13	"Sleep"	"Yes"	0
