"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
10	0.910458096590909	7	7	"Churn"	"Yes"	0
11	0.892543018810926	7	7	"Churn"	"Yes"	0
12	0.923656702732441	7	7	"Churn"	"Yes"	0
13	0.942173541328509	7	7	"Churn"	"Yes"	0
14	0.918698854337152	7	7	"Churn"	"Yes"	0
15	0.922087990180244	7	7	"Churn"	"Yes"	0
16	0.944187958512522	7	7	"Churn"	"Yes"	0
17	0.920161367668921	7	7	"Churn"	"Yes"	0
18	0.911991080420083	7	7	"Churn"	"Yes"	0
19	0.891179323725055	7	7	"Churn"	"Yes"	0
20	0.919444059497413	7	7	"Churn"	"Yes"	0
21	0.930299208987734	7	7	"Churn"	"Yes"	0
22	0.925611274991806	7	7	"Churn"	"Yes"	0
23	0.932166502785972	7	7	"Churn"	"Yes"	0
24	0.925375399794004	7	7	"Churn"	"Yes"	0
25	0.942192648103883	7	7	"Churn"	"Yes"	0
26	0.937057419950739	7	7	"Churn"	"Yes"	0
27	0.953142967891983	7	7	"Churn"	"Yes"	0
28	0.920521144386484	7	7	"Churn"	"Yes"	0
29	0.951588277418222	7	7	"Churn"	"Yes"	0
30	0.901144314227933	7	7	"Churn"	"Yes"	0
1	0.919707250458755	8	8	"Churn"	"Yes"	0
2	0.939006051714652	8	8	"Churn"	"Yes"	0
3	0.917503569142913	8	8	"Churn"	"Yes"	0
4	0.937754381243903	8	8	"Churn"	"Yes"	0
5	0.927606967500584	8	8	"Churn"	"Yes"	0
6	0.917974668560606	8	8	"Churn"	"Yes"	0
7	0.953430309638569	8	8	"Churn"	"Yes"	0
8	0.956501408861251	8	8	"Churn"	"Yes"	0
9	0.932372754491018	8	8	"Churn"	"Yes"	0
10	0.90237334280303	8	8	"Churn"	"Yes"	0
11	0.908288339156109	8	8	"Churn"	"Yes"	0
12	0.920857332742579	8	8	"Churn"	"Yes"	0
13	0.934491431969965	8	8	"Churn"	"Yes"	0
14	0.922433223037453	8	8	"Churn"	"Yes"	0
15	0.945585979790689	8	8	"Churn"	"Yes"	0
16	0.909317278466215	8	8	"Churn"	"Yes"	0
17	0.936210317460317	8	8	"Churn"	"Yes"	0
18	0.936858970540937	8	8	"Churn"	"Yes"	0
19	0.929989346590909	8	8	"Churn"	"Yes"	0
20	0.92245937684346	8	8	"Churn"	"Yes"	0
21	0.923128109050972	8	8	"Churn"	"Yes"	0
22	0.940047316312916	8	8	"Churn"	"Yes"	0
23	0.907247660005059	8	8	"Churn"	"Yes"	0
24	0.922512179718513	8	8	"Churn"	"Yes"	0
25	0.90715217514605	8	8	"Churn"	"Yes"	0
26	0.87377744510978	8	8	"Churn"	"Yes"	0
27	0.895510670635967	8	8	"Churn"	"Yes"	0
28	0.916494931325717	8	8	"Churn"	"Yes"	0
29	0.894110717061796	8	8	"Churn"	"Yes"	0
30	0.932803143712575	8	8	"Churn"	"Yes"	0
1	0.88986831895568	9	9	"Churn"	"Yes"	0
2	0.935753540846085	9	9	"Churn"	"Yes"	0
3	0.901590114704869	9	9	"Churn"	"Yes"	0
4	0.937006688963211	9	9	"Churn"	"Yes"	0
5	0.915614552605703	9	9	"Churn"	"Yes"	0
6	0.921585980462364	9	9	"Churn"	"Yes"	0
7	0.913552897159455	9	9	"Churn"	"Yes"	0
8	0.948368327852264	9	9	"Churn"	"Yes"	0
9	0.921450151057402	9	9	"Churn"	"Yes"	0
10	0.927169879018243	9	9	"Churn"	"Yes"	0
11	0.945699109633536	9	9	"Churn"	"Yes"	0
12	0.919656108597285	9	9	"Churn"	"Yes"	0
13	0.933970046591609	9	9	"Churn"	"Yes"	0
14	0.913912518853695	9	9	"Churn"	"Yes"	0
15	0.948902195608782	9	9	"Churn"	"Yes"	0
16	0.920141817959533	9	9	"Churn"	"Yes"	0
17	0.897381598793364	9	9	"Churn"	"Yes"	0
18	0.93785960189167	9	9	"Churn"	"Yes"	0
19	0.941114343536555	9	9	"Churn"	"Yes"	0
20	0.931238162878788	9	9	"Churn"	"Yes"	0
