"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
21	0.862433862433862	5	5	"Sleep"	"Yes"	0
22	0.971984179301252	5	5	"Sleep"	"Yes"	0
23	0.962301587301587	5	5	"Sleep"	"Yes"	0
24	0.940828402366864	5	5	"Sleep"	"Yes"	0
25	0.956822676334872	4	5	"Sleep"	"Yes"	0
26	0.96578073089701	5	5	"Sleep"	"Yes"	0
27	0.930147058823529	5	5	"Sleep"	"Yes"	0
28	0.971052631578947	5	5	"Sleep"	"Yes"	0
29	0.94825313117996	5	5	"Sleep"	"Yes"	0
30	0.982804232804233	5	5	"Sleep"	"Yes"	0
1	0.930125247198418	6	6	"Sleep"	"Yes"	0
2	0.888372093023256	6	6	"Sleep"	"Yes"	0
3	0.906644518272425	6	6	"Sleep"	"Yes"	0
4	0.915460526315789	6	6	"Sleep"	"Yes"	0
5	0.882894736842105	6	6	"Sleep"	"Yes"	0
6	0.910383597883598	6	6	"Sleep"	"Yes"	0
7	0.960526315789474	5	6	"Sleep"	"Yes"	0
8	0.853057199211045	6	6	"Sleep"	"Yes"	0
9	0.955263157894737	6	6	"Sleep"	"Yes"	0
10	0.90625	6	6	"Sleep"	"Yes"	0
11	0.933823529411765	6	6	"Sleep"	"Yes"	0
12	0.869808833223467	6	6	"Sleep"	"Yes"	0
13	0.91430454845089	6	6	"Sleep"	"Yes"	0
14	0.904746209624258	6	6	"Sleep"	"Yes"	0
15	0.879367172050099	6	6	"Sleep"	"Yes"	0
16	0.898478835978836	6	6	"Sleep"	"Yes"	0
17	0.973875661375661	6	6	"Sleep"	"Yes"	0
18	0.886029411764706	6	6	"Sleep"	"Yes"	0
19	0.857565789473684	6	6	"Sleep"	"Yes"	0
20	0.947697368421053	6	6	"Sleep"	"Yes"	0
21	0.92188529993408	6	6	"Sleep"	"Yes"	0
22	0.918259723137772	6	6	"Sleep"	"Yes"	0
23	0.947089947089947	6	6	"Sleep"	"Yes"	0
24	0.930224867724868	6	6	"Sleep"	"Yes"	0
25	0.854700854700855	6	6	"Sleep"	"Yes"	0
26	0.928947368421053	6	6	"Sleep"	"Yes"	0
27	0.96031746031746	6	6	"Sleep"	"Yes"	0
28	0.923862887277521	6	6	"Sleep"	"Yes"	0
29	0.899801587301587	6	6	"Sleep"	"Yes"	0
30	0.862887277521424	6	6	"Sleep"	"Yes"	0
1	0.905570652173913	7	7	"Sleep"	"Yes"	0
2	0.875082399472643	6	7	"Sleep"	"Yes"	0
3	0.886243386243386	7	7	"Sleep"	"Yes"	0
4	0.901683501683502	7	7	"Sleep"	"Yes"	0
5	0.868546195652174	7	7	"Sleep"	"Yes"	0
6	0.845418589321028	7	7	"Sleep"	"Yes"	0
7	0.936163101604278	7	7	"Sleep"	"Yes"	0
8	0.872354497354497	7	7	"Sleep"	"Yes"	0
9	0.864309764309764	7	7	"Sleep"	"Yes"	0
10	0.950868983957219	7	7	"Sleep"	"Yes"	0
11	0.954365079365079	7	7	"Sleep"	"Yes"	0
12	0.85042735042735	7	7	"Sleep"	"Yes"	0
13	0.896399456521739	7	7	"Sleep"	"Yes"	0
14	0.986156888595913	7	7	"Sleep"	"Yes"	0
15	0.939236111111111	7	7	"Sleep"	"Yes"	0
16	0.777441077441077	7	7	"Sleep"	"Yes"	0
17	0.978787878787879	7	7	"Sleep"	"Yes"	0
18	0.923280423280423	7	7	"Sleep"	"Yes"	0
19	0.855614973262032	7	7	"Sleep"	"Yes"	0
20	0.909030982201714	7	7	"Sleep"	"Yes"	0
21	0.848454963839579	7	7	"Sleep"	"Yes"	0
22	0.900461437046803	7	7	"Sleep"	"Yes"	0
23	0.943421052631579	7	7	"Sleep"	"Yes"	0
24	0.851644736842105	7	7	"Sleep"	"Yes"	0
25	0.908042188529993	7	7	"Sleep"	"Yes"	0
26	0.905753968253968	7	7	"Sleep"	"Yes"	0
27	0.90542328042328	7	7	"Sleep"	"Yes"	0
28	0.922874093605801	7	7	"Sleep"	"Yes"	0
29	0.912142857142857	7	7	"Sleep"	"Yes"	0
30	0.881016042780749	7	7	"Sleep"	"Yes"	0
